Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
20;Bogdan Bogdanovi?;SG;30;ATL;6;1;26.2;5;9;0.556;2.5;5.5;0.455;2.5;3.5;0.714;0.694;0.8;1.2;0.714;0.3;2.7;3;2.5;1;0.8;0.5;2.7;13.3
21;Devin Booker;SG;26;PHO;11;11;41.7;12.8;21.9;0.585;2.8;5.5;0.508;10;16.4;0.611;0.649;5.3;6.1;0.866;1.1;3.7;4.8;7.2;1.7;0.8;2.9;3.4;33.7
22;Brandon Boston Jr.;SF;21;LAC;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
23;Christian Braun;SG;21;DEN;19;0;13;1.3;2.4;0.533;0.1;0.5;0.2;1.2;1.8;0.629;0.556;0.6;1;0.579;0.6;1.4;2.1;0.6;0.6;0.2;0.5;1.5;3.2
24;Mikal Bridges;SG;26;BRK;4;4;39.3;8.3;19.3;0.429;2.5;6.3;0.4;5.8;13;0.442;0.494;4.5;5.8;0.783;0.5;4.8;5.3;4;0.5;0.5;2;1.3;23.5
25;Malcolm Brogdon;PG;30;BOS;19;0;24.9;4.3;10.3;0.418;1.7;4.6;0.379;2.6;5.7;0.45;0.503;1.5;1.8;0.829;0.7;2.8;3.5;2.9;0.2;0.3;1;1.5;11.9
26;Dillon Brooks;SF;27;MEM;6;6;27.8;4;12.8;0.312;1.7;7;0.238;2.3;5.8;0.4;0.377;0.8;1.2;0.714;0.5;2.5;3;1.8;0.2;0;1.2;3.3;10.5
27;Bruce Brown;SF;26;DEN;20;0;26.5;4.5;8.8;0.511;0.9;2.9;0.316;3.6;6;0.605;0.563;2.1;2.5;0.857;0.8;3.3;4;1.9;1.1;0.5;1.2;2.5;12
28;Jaylen Brown;SF;26;BOS;20;20;37.6;9.1;18.3;0.496;2;5.7;0.354;7.1;12.6;0.56;0.551;2.6;3.7;0.689;1.3;4.4;5.6;3.4;1.1;0.4;3.3;3.1;22.7
29;Troy Brown Jr.;SF;23;LAL;12;0;10.3;0.8;2.3;0.357;0.2;1.3;0.133;0.7;1.1;0.615;0.393;0;0;0;0.3;1.7;2;0.9;0.2;0.1;0;0.3;1.8
30;Jalen Brunson;PG;26;NYK;11;11;40.3;9.9;20.9;0.474;2.4;7.3;0.325;7.5;13.6;0.553;0.53;5.6;6.2;0.912;0.8;4.1;4.9;5.6;1.5;0.1;2.1;2.4;27.8
31;Thomas Bryant;C;25;DEN;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;Jimmy Butler;PF;33;MIA;22;22;39.7;9.4;20.1;0.468;1.3;3.5;0.359;8.1;16.5;0.492;0.5;6.8;8.5;0.806;2.1;4.3;6.5;5.9;1.8;0.6;1.9;1.7;26.9
33;Kentavious Caldwell-Pope;SG;29;DEN;20;20;33.6;3.7;8.1;0.457;1.8;4.6;0.38;2;3.5;0.557;0.565;1.5;1.8;0.829;0.7;2.6;3.3;1.6;1.3;0.7;0.8;2.4;10.6
34;Vlatko ?an?ar;PF;25;DEN;5;0;2;0;1;0;0;0.8;0;0;0.2;0;0;0;0;0;0;0.6;0.6;0.2;0;0;0;0;0
35;Clint Capela;C;28;ATL;6;6;25.2;3.8;6.3;0.605;0;0;0;3.8;6.3;0.605;0.605;0.7;1;0.667;2.5;5.8;8.3;0.5;1;0.5;0.7;0.8;8.3
36;Jevon Carter;PG;27;MIL;4;0;12.3;0.5;2.3;0.222;0.3;1.8;0.143;0.3;0.5;0.5;0.278;0;0;0;0;1;1;1;0.3;0;0;0.3;1.3
37;Justin Champagnie;SF;21;BOS;4;0;2.5;0.3;1;0.25;0;0.8;0;0.3;0.3;1;0.25;0;0;0;0;0;0;0;0;0;0;0.5;0.5
38;Max Christie;SG;19;LAL;9;0;3.7;0.6;1.1;0.5;0.1;0.4;0.25;0.4;0.7;0.667;0.55;0.2;0.4;0.5;0.1;0.7;0.8;0.3;0;0.1;0;0;1.4
39;Nic Claxton;C;23;BRK;4;4;29.3;4.5;6.3;0.72;0;0;0;4.5;6.3;0.72;0.72;1.5;2.5;0.6;1.3;6.8;8;1.5;0.3;1.8;0.8;2;10.5
40;Amir Coffey;SF;25;LAC;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;John Collins;PF;25;ATL;6;6;27.3;4.3;10;0.433;1.8;5.3;0.344;2.5;4.7;0.536;0.525;0.8;1;0.833;1.2;3.2;4.3;0.8;0.3;1;1.5;2.2;11.3
42;Mike Conley;PG;35;MIN;5;5;36.6;4;8.4;0.476;2;4.4;0.455;2;4;0.5;0.595;2;2.2;0.909;0.4;2.2;2.6;6.4;0.6;0;1.4;2.2;12
43;Pat Connaughton;SF;30;MIL;4;0;22;4.3;7.5;0.567;2.8;5.8;0.478;1.5;1.8;0.857;0.75;0.8;1;0.75;1;4;5;1.8;1;0.3;0.5;2.5;12
44;Robert Covington;PF;32;LAC;2;0;6;0;1.5;0;0;1;0;0;0.5;0;0;0;0;0;0;1;1;1;0;0.5;0;1;0
45;Torrey Craig;PF;32;PHO;11;5;16.6;2.4;4.1;0.578;1;2.3;0.44;1.4;1.8;0.75;0.7;0.7;0.8;0.889;0.6;1.6;2.3;0.5;0.5;0.2;0.3;2.1;6.5
46;Jae Crowder;PF;32;MIL;4;0;10.3;0.8;3.3;0.231;0;1.5;0;0.8;1.8;0.429;0.231;0.3;0.5;0.5;0.3;0.8;1;0.8;0.5;0;0.3;1.3;1.8
47;Seth Curry;SG;32;BRK;3;0;19.3;3.3;6.3;0.526;1;3;0.333;2.3;3.3;0.7;0.605;0.7;1;0.667;0;1;1;2;0;0;0.3;0.7;8.3
48;Stephen Curry;PG;34;GSW;13;13;37.9;11.2;23.9;0.466;4.4;12.1;0.363;6.8;11.8;0.571;0.558;3.8;4.5;0.845;0.7;4.5;5.2;6.1;1;0.5;3.2;2.6;30.5
49;Anthony Davis;C;29;LAL;16;16;38;8.3;15.9;0.52;0.3;0.9;0.333;7.9;14.9;0.531;0.53;5.8;6.8;0.852;2.4;11.7;14.1;2.6;1.4;3.1;2.1;2.9;22.6
50;Terence Davis;SG;25;SAC;4;0;14.5;2;5;0.4;1.5;4.3;0.353;0.5;0.8;0.667;0.55;0.5;0.5;1;0.5;1.8;2.3;1.5;0.3;0;0.5;3;6
51;Dewayne Dedmon;C;33;PHI;1;0;5;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1;0
52;Spencer Dinwiddie;PG;29;BRK;4;4;39.8;5.5;12.8;0.431;1.8;4.5;0.389;3.8;8.3;0.455;0.5;3.8;5.5;0.682;0.3;3;3.3;6.5;1.3;0.3;3;1.8;16.5
53;Donte DiVincenzo;SG;26;GSW;13;1;18.1;1.8;4.9;0.375;1.2;3.4;0.341;0.7;1.5;0.45;0.492;0.6;0.9;0.667;0.8;2.2;3;2.8;0.8;0.2;1.3;1.5;5.5
54;PJ Dozier;SF;26;SAC;3;0;2;1;2;0.5;0.7;1.3;0.5;0.3;0.7;0.5;0.667;0;0;0;0.3;0.3;0.7;0;0;0;0;0;2.7
55;Goran Dragi?;PG;36;MIL;2;0;3.5;0;1;0;0;0.5;0;0;0.5;0;0;2;2;1;0;0;0;0.5;0;0;0;0;2
56;David Duke Jr.;SG;23;BRK;1;0;5;1;3;0.333;0;1;0;1;2;0.5;0.333;0;0;0;0;0;0;0;0;0;1;1;2
57;Kevin Durant;PF;34;PHO;11;11;42.4;9.7;20.4;0.478;1.5;4.6;0.333;8.2;15.7;0.52;0.516;8;8.7;0.917;0.6;8.1;8.7;5.5;0.8;1.4;3.5;2.6;29
58;Anthony Edwards;SG;21;MIN;5;5;39.8;11;22.8;0.482;3;8.6;0.349;8;14.2;0.563;0.548;6.6;7.8;0.846;0.6;4.4;5;5.2;1.8;2;1.6;2.6;31.6
59;Kessler Edwards;SF;22;SAC;6;0;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0
60;Joel Embiid;C;28;PHI;9;9;37.3;7.3;17;0.431;0.6;3.1;0.179;6.8;13.9;0.488;0.448;8.4;9.3;0.905;1.8;8;9.8;2.7;0.7;2.8;3.9;3;23.7
61;Dorian Finney-Smith;PF;29;BRK;4;4;25.3;2.3;5.8;0.391;1.8;4.3;0.412;0.5;1.5;0.333;0.543;0;0;0;1.5;3;4.5;0.8;0.8;0.5;1.3;1.8;6.3
62;De'Aaron Fox;PG;25;SAC;7;7;38.6;10;23.6;0.424;3;9;0.333;7;14.6;0.48;0.488;4.4;5.9;0.756;1.7;3.7;5.4;7.7;2.1;0.6;4;3.3;27.4
63;Wenyen Gabriel;C;25;LAL;10;0;3.7;0.4;1;0.4;0;0;0;0.4;1;0.4;0.4;0.2;0.3;0.667;0.8;0.1;0.9;0;0.2;0.3;0.2;0.8;1
64;Darius Garland;PG;23;CLE;5;5;37.8;7;16;0.438;2.4;6.2;0.387;4.6;9.8;0.469;0.513;4.2;5;0.84;0;1.8;1.8;5;1.6;0.2;3.6;3.4;20.6
65;Rudy Gobert;C;30;MIN;5;5;35.4;5.8;9.2;0.63;0;0;0;5.8;9.2;0.63;0.63;3.4;5.4;0.63;3.6;8.6;12.2;2;0.4;1;1.6;4.8;15
66;Aaron Gordon;PF;27;DEN;20;20;35.7;5.1;9.8;0.518;0.9;2.3;0.391;4.2;7.5;0.557;0.564;2.3;3.5;0.652;2.5;3.6;6;2.6;0.6;0.7;1;2.9;13.3
67;Eric Gordon;SG;34;LAC;5;5;29.8;3.6;8.8;0.409;2;5.8;0.345;1.6;3;0.533;0.523;1;1.2;0.833;0.2;1.2;1.4;2.6;0.6;0.4;0.8;2.4;10.2
68;Danny Green;SG;35;CLE;4;0;10;0.3;1.3;0.2;0.3;1;0.25;0;0.3;0;0.3;0;0;0;0.5;1.3;1.8;0.3;0.5;0.3;0.5;1.8;0.8
69;Draymond Green;PF;32;GSW;12;9;30.6;3.5;7.6;0.462;0.4;1.7;0.25;3.1;5.9;0.521;0.489;2;2.8;0.727;1.6;5.3;6.9;6.8;1.5;1;2.3;4;9.4
70;JaMychal Green;PF;32;GSW;7;2;7;1.3;3.3;0.391;0.7;2.6;0.278;0.6;0.7;0.8;0.5;0;0;0;0;0.7;0.7;0.4;0;0.1;0.3;1.4;3.3
71;Jeff Green;PF;36;DEN;20;0;17.2;1.4;3.1;0.452;0.5;1.4;0.321;1;1.7;0.559;0.524;0.9;1;0.895;0.3;1.3;1.6;0.7;0.3;0.4;0.5;2.2;4.1
72;Blake Griffin;C;33;BOS;1;0;6;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;2;0;0;0;0;2;0
73;Quentin Grimes;SG;22;NYK;9;6;26.9;1.6;5.1;0.304;1;4.1;0.243;0.6;1;0.556;0.402;1;1.2;0.818;0.3;2.4;2.8;1.4;1;0.6;1.1;1.9;5.1
74;Rui Hachimura;PF;24;LAL;16;1;24.3;4.6;8.2;0.557;1.2;2.4;0.487;3.4;5.8;0.587;0.63;1.9;2.1;0.882;0.6;3.1;3.6;0.6;0.5;0.3;0.6;1.6;12.2
75;James Harden;PG;33;PHI;11;11;38.8;6.5;16.6;0.393;2.8;7.5;0.378;3.7;9.2;0.406;0.478;4.4;5;0.873;0.5;5.6;6.2;8.3;1.8;0.4;3.2;2.5;20.3
76;Montrezl Harrell;C;29;PHI;2;0;3.5;0;1.5;0;0;0;0;0;1.5;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0
77;Joe Harris;SF;31;BRK;4;0;11;0.5;3.3;0.154;0.3;3;0.083;0.3;0.3;1;0.192;0.5;0.5;1;0;1.3;1.3;0;0.5;0;0.8;1.3;1.8
78;Tobias Harris;SF;30;PHI;11;11;35.6;6.4;12.2;0.522;1.4;3.7;0.366;5;8.5;0.591;0.578;1.2;1.4;0.867;1.5;5.7;7.3;1.6;0.6;0.5;0.7;2.5;15.3
79;Shaquille Harrison;SG;29;LAL;8;0;3.5;0.5;0.9;0.571;0.1;0.1;1;0.4;0.8;0.5;0.643;0.1;0.3;0.5;0;0.4;0.4;1.1;0.3;0;0;0.4;1.3
80;Josh Hart;SF;27;NYK;11;5;32.1;4.1;8.5;0.479;0.9;2.9;0.313;3.2;5.6;0.565;0.532;1.3;2;0.636;1.6;5.7;7.4;2.2;0.8;0.3;1.9;3.5;10.4
81;Isaiah Hartenstein;C;24;NYK;11;0;20;1;2.1;0.478;0;0;0;1;2.1;0.478;0.478;1.1;1.5;0.75;2.1;2.5;4.6;1.3;0.8;1.4;0.5;2.6;3.1
82;Udonis Haslem;C;42;MIA;2;0;1.5;0;1.5;0;0;0.5;0;0;1;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0
83;Sam Hauser;SF;25;BOS;15;0;6.9;0.7;1.9;0.345;0.5;1.6;0.333;0.1;0.3;0.4;0.483;0.1;0.1;1;0.3;0.8;1.1;0.3;0.1;0.1;0;0.5;2
84;Tyler Herro;SG;23;MIA;1;1;19;5;9;0.556;2;4;0.5;3;5;0.6;0.667;0;0;0;0;2;2;2;0;1;1;1;12
85;Haywood Highsmith;PF;26;MIA;18;0;8.9;1.3;2.2;0.615;0.4;0.9;0.5;0.9;1.3;0.696;0.718;0.2;0.3;0.8;0.6;0.8;1.3;0.3;0.6;0.1;0.1;1.1;3.3
86;Aaron Holiday;PG;26;ATL;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
87;Jrue Holiday;PG;32;MIL;5;5;38.2;6.8;17;0.4;2.4;8.4;0.286;4.4;8.6;0.512;0.471;1.8;2.6;0.692;0.8;5.8;6.6;8;1;0.4;2.4;2.4;17.8
88;Al Horford;C;36;BOS;20;20;30.9;2.6;6.6;0.386;1.4;4.7;0.298;1.2;1.9;0.605;0.492;0.2;0.2;0.75;1.5;5.7;7.2;3;1.1;1.7;0.6;2.4;6.7
89;Danuel House Jr.;SF;29;PHI;7;0;6;1.3;3;0.429;0.1;1.4;0.1;1.1;1.6;0.727;0.452;0.1;0.1;1;0;1.7;1.7;0.1;0;0;0.1;0.6;2.9
90;Kevin Huerter;SG;24;SAC;7;7;26.1;3.6;10.3;0.347;1.1;5.6;0.205;2.4;4.7;0.515;0.403;0.9;1.1;0.75;0.1;4.3;4.4;1.1;0.4;1.3;0.6;3.3;9.1
91;De'Andre Hunter;SF;25;ATL;6;6;37.3;6.5;14.2;0.459;2.3;6.3;0.368;4.2;7.8;0.532;0.541;1.3;1.7;0.8;1.2;4.5;5.7;1.2;0.7;0.3;1.5;3.3;16.7
92;Bones Hyland;PG;22;LAC;5;0;16.4;3;8.8;0.341;1;4;0.25;2;4.8;0.417;0.398;1.6;2;0.8;0.2;0.6;0.8;0.8;0.8;0.2;0.8;1.8;8.6
93;Joe Ingles;SF;35;MIL;5;0;17.8;2.4;4.6;0.522;2;4;0.5;0.4;0.6;0.667;0.739;0;0;0;0.2;1;1.2;2;0.6;0.2;1.2;1.4;6.8
94;Jaren Jackson Jr.;C;23;MEM;6;6;36.7;5.8;13.8;0.422;1.2;4.2;0.28;4.7;9.7;0.483;0.464;5.2;6;0.861;3.3;4.5;7.8;1.5;1;2;3;4;18
95;Reggie Jackson;PG;32;DEN;6;0;3;0.2;0.3;0.5;0.2;0.3;0.5;0;0;0;0.75;0;0;0;0;0.3;0.3;0.3;0.2;0;0.2;0;0.5
96;LeBron James;PF;38;LAL;16;16;38.7;9.2;18.4;0.498;1.8;6.6;0.264;7.4;11.8;0.63;0.546;4.4;5.8;0.761;1.6;8.3;9.9;6.5;1.1;1.1;2.5;1.8;24.5
97;DaQuan Jeffries;SG;25;NYK;2;0;2.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
98;Cameron Johnson;PF;26;BRK;4;4;38;7;13.8;0.509;3;7;0.429;4;6.8;0.593;0.618;1.5;1.8;0.857;0.8;5;5.8;2.8;0.8;0.3;1.3;2.5;18.5
99;Jalen Johnson;SF;21;ATL;6;0;9.3;1.7;4;0.417;0.7;1.8;0.364;1;2.2;0.462;0.5;0.3;0.3;1;0.3;2.2;2.5;1.3;0.5;0;0.8;0.8;4.3
100;Nikola Joki?;C;27;DEN;20;20;39.5;11.4;20.7;0.548;1.8;3.8;0.461;9.6;16.9;0.568;0.591;5.6;7;0.799;3.5;10;13.5;9.5;1.1;1;3.5;3.5;30
101;Tyus Jones;PG;26;MEM;6;1;20;1.8;6;0.306;0.5;3.2;0.158;1.3;2.8;0.471;0.347;0.3;0.5;0.667;0.5;2.5;3;3.7;1.3;0;1.3;0.8;4.5
102;DeAndre Jordan;C;34;DEN;4;0;3.5;0.5;0.8;0.667;0;0;0;0.5;0.8;0.667;0.667;0.3;0.5;0.5;0;1;1;0.3;0;0.3;0.5;0.5;1.3
103;Nikola Jovi?;PF;19;MIA;7;0;1.9;0.1;0.6;0.25;0;0.3;0;0.1;0.3;0.5;0.25;0;0;0;0.1;0.6;0.7;0;0;0;0;0;0.3
104;Luke Kennard;SG;26;MEM;5;0;21.4;2.4;4.6;0.522;1.6;3.2;0.5;0.8;1.4;0.571;0.696;0.8;0.8;1;1;3;4;1.4;0.8;0;0.2;1.6;7.2
105;Nathan Knight;C;25;MIN;2;0;2.5;0.5;2;0.25;0;1;0;0.5;1;0.5;0.25;0;0;0;0.5;0;0.5;0;0;0;0.5;0;1
106;John Konchar;SF;26;MEM;5;0;9.8;0.4;1.8;0.222;0;0.8;0;0.4;1;0.4;0.222;0;0;0;0.8;1.2;2;0.8;0.4;0.4;0.2;1.2;0.8
107;Furkan Korkmaz;SG;25;PHI;3;0;3.7;0;0.7;0;0;0.3;0;0;0.3;0;0;0.7;0.7;1;0;0.3;0.3;0.3;0;0;0.3;0;0.7
108;Luke Kornet;C;27;BOS;8;0;4;0.9;1;0.875;0.1;0.1;1;0.8;0.9;0.857;0.938;0.3;0.3;1;0.6;0.6;1.3;0;0;0.1;0;0.3;2.1
109;Jonathan Kuminga;PF;20;GSW;10;0;6.1;1.3;2.4;0.542;0.3;0.7;0.429;1;1.7;0.588;0.604;0.5;0.9;0.556;0.4;0.5;0.9;0.5;0.2;0;0.4;0.5;3.4
110;Anthony Lamb;SF;25;GSW;6;0;5.2;0.3;0.8;0.4;0.2;0.7;0.25;0.2;0.2;1;0.5;0;0;0;0.2;0.8;1;0;0.2;0.2;0.3;0.5;0.8
111;Jock Landale;C;27;PHO;7;1;16.1;2.4;3.9;0.63;0;0.1;0;2.4;3.7;0.654;0.63;1.3;2;0.643;1.4;2.6;4;0.4;0.4;0.4;0.3;2.1;6.1
112;Damion Lee;SG;30;PHO;8;0;11.1;0.8;2.5;0.3;0.4;1.9;0.2;0.4;0.6;0.6;0.375;0.3;0.3;1;0.5;0.9;1.4;0.6;0.3;0;0.1;1;2.1
113;Alex Len;C;29;SAC;7;0;7.7;1;1.3;0.778;0;0;0;1;1.3;0.778;0.778;0.7;0.9;0.833;1;1.9;2.9;0.1;0;0.4;1;2.1;2.7
114;Kawhi Leonard;SF;31;LAC;2;2;40;12;22;0.545;3;5;0.6;9;17;0.529;0.614;7.5;8.5;0.882;1.5;5;6.5;6;2;0.5;3;2.5;34.5
115;Meyers Leonard;C;30;MIL;2;0;2.5;0;0.5;0;0;0;0;0;0.5;0;0;0;0;0;0;0.5;0.5;0;0;0;0;0;0
116;Caris LeVert;SG;28;CLE;5;3;34;5.4;12.6;0.429;2.6;7.2;0.361;2.8;5.4;0.519;0.532;1.6;2.6;0.615;0.8;3.8;4.6;2.6;0.4;0.2;1;2;15
117;Kenneth Lofton Jr.;PF;20;MEM;4;0;3;0.8;2;0.375;0;0.5;0;0.8;1.5;0.5;0.375;0.3;0.5;0.5;0.3;0.5;0.8;0.3;0;0;0;0;1.8
118;Kevon Looney;C;26;GSW;13;8;25;2.8;4.9;0.578;0;0;0;2.8;4.9;0.578;0.578;0.8;1.4;0.556;4.7;8.4;13.1;3.3;0.6;0.4;1;2.8;6.5
119;Brook Lopez;C;34;MIL;5;5;36.4;7.8;13.4;0.582;1.4;3.4;0.412;6.4;10;0.64;0.634;2;2.6;0.769;2.8;3.6;6.4;1.2;1.4;1.8;2.2;2;19
120;Robin Lopez;C;34;CLE;2;0;3;1.5;1.5;1;0;0;0;1.5;1.5;1;1;1;1;1;0.5;0;0.5;0;0;0;0.5;1;4
121;Kevin Love;PF;34;MIA;20;18;18;2.3;6;0.378;1.7;4.4;0.375;0.6;1.6;0.387;0.517;0.7;0.8;0.875;0.7;4.9;5.6;1.2;0.5;0.4;0.5;1.8;6.9
122;Kyle Lowry;PG;36;MIA;23;1;26;3.2;7.6;0.425;1.4;3.8;0.375;1.8;3.7;0.477;0.52;1.3;1.4;0.939;0.5;3;3.5;4.4;1;0.6;1.7;2.6;9.2
123;Trey Lyles;PF;27;SAC;7;0;16.9;2.4;5.7;0.425;1.3;3.9;0.333;1.1;1.9;0.615;0.538;0.4;0.7;0.6;1.3;4.4;5.7;0.7;0.3;0;0.4;1.7;6.6
124;Terance Mann;SG;26;LAC;5;0;26.6;3.8;6.6;0.576;1.8;3.8;0.474;2;2.8;0.714;0.712;1.2;1.8;0.667;1.4;1.8;3.2;2.2;0.8;0.2;1.8;3.4;10.6
125;Caleb Martin;SF;27;MIA;23;4;30.2;4.7;9;0.529;1.9;4.5;0.423;2.8;4.4;0.637;0.636;1.3;1.5;0.829;1.2;4.3;5.4;1.6;0.9;0.4;1;2.4;12.7
126;Wesley Matthews;SF;36;MIL;2;0;20.5;2;4.5;0.444;2;3.5;0.571;0;1;0;0.667;0;0;0;0.5;1;1.5;0.5;1;0.5;0;1.5;6
127;Tyrese Maxey;SG;22;PHI;11;11;38.5;7.5;17.5;0.427;3.1;7.7;0.4;4.4;9.7;0.449;0.516;2.5;2.8;0.903;0.8;4;4.8;2.3;1.4;0.5;0.7;2.4;20.5
128;Miles McBride;PG;22;NYK;8;0;2.5;0.1;0.5;0.25;0.1;0.4;0.333;0;0.1;0;0.375;0;0;0;0;0.3;0.3;0.1;0;0.1;0;0.1;0.4
129;Jalen McDaniels;SF;25;PHI;8;0;12.8;1;2.5;0.4;0.4;1.1;0.333;0.6;1.4;0.455;0.475;0;0;0;0.4;1.6;2;0.6;0.1;0;0.4;1;2.4
130;Jordan McLaughlin;PG;26;MIN;2;0;7;0;2;0;0;1;0;0;1;0;0;0;0;0;0;1;1;1;0;0;0;1;0
131;De'Anthony Melton;SG;24;PHI;11;0;24.9;2.8;7.4;0.383;1.7;4.5;0.388;1.1;2.9;0.375;0.5;0.5;0.7;0.75;1.3;2;3.3;1.6;1.2;0.8;0.7;1.8;7.9
132;Chimezie Metu;PF;25;SAC;3;0;2;0;0.3;0;0;0;0;0;0.3;0;0;0.7;1;0.667;0.3;0;0.3;0;0;0;0.3;0;0.7
133;Khris Middleton;SF;31;MIL;5;5;34.6;8;17.2;0.465;2.6;6.4;0.406;5.4;10.8;0.5;0.541;5.2;6;0.867;1.4;5;6.4;6.2;0.6;0;3.4;3;23.8
134;Patty Mills;PG;34;BRK;1;0;5;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
135;Shake Milton;SG;26;PHI;6;0;3.5;0.5;0.8;0.6;0;0.2;0;0.5;0.7;0.75;0.6;0.3;0.3;1;0;0.5;0.5;0.3;0.3;0;0.2;0.5;1.3
136;Josh Minott;SF;20;MIN;1;0;6;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;0
